Potter;Harry;477264;harry.potter@hogwarts.wiz;Study of Ancient Runes
Weasley;Ron;490134;ron.weasley@hogwarts.wiz;Care of Magical Creatures
Granger;Hermione;471617;hermione.granger@hogwarts.wiz;Ghoul Studies
Creevey;Colin;432646;colin.creevey@hogwarts.wiz;Music
Finnigan;Seamus;481989;seamus.finnigan@hogwarts.wiz;Ancient Studies
Abbott;Hannah;488962;hannah.abbott@hogwarts.wiz;Apparition
Parkinson;Pansy;482103;pansy.parkinson@hogwarts.wiz;Dark Arts
Smith;Zacharias;494380;zacharias.smith@hogwarts.wiz;Care of Magical Creatures
Zabini;Blaise;408761;blaise.zabini@hogwarts.wiz;Muggle Music
Malfoy;Draco;492010;draco.malfoy@hogwarts.wiz;Charms
Thomas;Dean;447924;dean.thomas@hogwarts.wiz;Divination
Bulstrode;Millicent;467061;millicent.bulstrode@hogwarts.wiz;Ghoul Studies
Boot;Terry;462460;terry.boot@hogwarts.wiz;Herbology
Macmillan;Ernie;414813;ernie.macmillan@hogwarts.wiz;Alchemy
Crabbe;Vincent;458755;vincent.crabbe@hogwarts.wiz;Ghoul Studies
Goyle;Gregory;496383;gregory.goyle@hogwarts.wiz;Art
Brown;Lavender;484286;lavender.brown@hogwarts.wiz;Muggle Studies
Bell;Katie;428172;katie.bell@hogwarts.wiz;Ancient Studies
Patil;Parvati;471843;parvati.patil@hogwarts.wiz;Herbology
Creevey;Dennis;410995;dennis.creevey@hogwarts.wiz;Magical Theory
Midgen;Eloise;461091;eloise.midgen@hogwarts.wiz;Astronomy
Coote;Ritchie;491225;ritchie.coote@hogwarts.wiz;Arithmancy
Sloper;Jack;453788;jack.sloper@hogwarts.wiz;Astronomy
Frobisher;Victoria;439399;victoria.frobisher@hogwarts.wiz;Care of Magical Creatures
Hooper;Geoffrey;411888;geoffrey.hooper@hogwarts.wiz;Arithmancy
Kirke;Andrew;424853;andrew.kirke@hogwarts.wiz;Potions
Robins;Demelza;498334;demelza.robins@hogwarts.wiz;Herbology
McLaggen;Cormac;461722;cormac.mclaggen@hogwarts.wiz;Muggle Studies
Longbottom;Neville;495877;neville.longbottom@hogwarts.wiz;Divination
Weasley;Ginny;446927;ginny.weasley@hogwarts.wiz;Dark Arts
Vane;Romilda;428960;romilda.vane@hogwarts.wiz;Astronomy
McDonald;Natalie;473337;natalie.mcdonald@hogwarts.wiz;Potions
Peakes;Jimmy;498139;jimmy.peakes@hogwarts.wiz;Xylomancy
Abercrombie;Euan;412113;euan.abercrombie@hogwarts.wiz;Charms
MacDonald;Mary;464948;mary.macdonald@hogwarts.wiz;Muggle Art
Clearwater;Penelope;489821;penelope.clearwater@hogwarts.wiz;Potions
Davies;Roger;423682;roger.davies@hogwarts.wiz;Charms
Carmichael;Eddie;409795;eddie.carmichael@hogwarts.wiz;Muggle Studies
Chang;Cho;432914;cho.chang@hogwarts.wiz;Music
Edgecombe;Marietta;479707;marietta.edgecombe@hogwarts.wiz;Divination
Brocklehurst;Mandy;424573;mandy.brocklehurst@hogwarts.wiz;Astronomy
Corner;Michael;427861;michael.corner@hogwarts.wiz;Transfiguration
Cornfoot;Stephen;409205;stephen.cornfoot@hogwarts.wiz;Muggle Art
Entwhistle;Kevin;491893;kevin.entwhistle@hogwarts.wiz;Magical Theory
Goldstein;Anthony;429693;anthony.goldstein@hogwarts.wiz;Charms
Li;Su;460737;su.li@hogwarts.wiz;Music
McDougal;Morag;410362;morag.mcdougal@hogwarts.wiz;Charms
Patil;Padma;438399;padma.patil@hogwarts.wiz;Muggle Music
Turpin;Lisa;410297;lisa.turpin@hogwarts.wiz;Dark Arts
Lovegood;Luna;465190;luna.lovegood@hogwarts.wiz;Astronomy
Quirke;Orla;442039;orla.quirke@hogwarts.wiz;Art
Ackerley;Stewart;457577;stewart.ackerley@hogwarts.wiz;Ghoul Studies
Bones;Susan;458723;susan.bones@hogwarts.wiz;Divination
Branstone;Eleanor;462681;eleanor.branstone@hogwarts.wiz;Muggle Art
Cauldwell;Owen;442580;owen.cauldwell@hogwarts.wiz;Alchemy
Finch-Fletchley;Justin;459220;justin.finch-fletchley@hogwarts.wiz;Charms
Hopkins;Wayne;490995;wayne.hopkins@hogwarts.wiz;Herbology
Jones;Megan;432783;megan.jones@hogwarts.wiz;Divination
Madley;Laura;414597;laura.madley@hogwarts.wiz;Defence Against the Dark Arts
Whitby;Kevin;406080;kevin.whitby@hogwarts.wiz;Divination
Zeller;Rose;422984;rose.zeller@hogwarts.wiz;Music
Higgs;Terence;411820;terence.higgs@hogwarts.wiz;Study of Ancient Runes
Pucey;Adrian;486169;adrian.pucey@hogwarts.wiz;Muggle Studies
Davis;Tracey;453450;tracey.davis@hogwarts.wiz;Advanced Arithmancy Studies
Moon;Lilian;479394;lilian.moon@hogwarts.wiz;Herbology
Greengrass;Daphne;445288;daphne.greengrass@hogwarts.wiz;Charms
Nott;Theodore;496659;theodore.nott@hogwarts.wiz;Muggle Studies
Greengrass;Astoria;458180;astoria.greengrass@hogwarts.wiz;Muggle Art
Baddock;Malcolm;483666;malcolm.baddock@hogwarts.wiz;Transfiguration
Pritchard;Graham;419203;graham.pritchard@hogwarts.wiz;Ghoul Studies
